,link,name,type,price,address,built_up,land_area,bedrooms,bathrooms,monthly_installment,land_title,tenure,price_per_sqft,maintenance_fee,furnishing,state
0,/property/tropicana/sale-8250210/,"Tropicana Indah Resort Home, Tropicana",Bungalow  , 5400000,"Tropicana Indah Resort Home, 47410, Selangor ", 5000 sq. ft., 11500 ,4,5," 24,337 ",-,Leasehold,-,-,Fully Furnished, Selangor
1,/property/desa-park-city/sale-7179338/,"Safa, Desa ParkCity, Desa ParkCity",3-sty Terrace/Link House  , 2400000,"Safa, Desa ParkCity, Safa, Desa ParkCity, Kuala Lumpur ", 3000 sq. ft., 1650 ,4+1,4," 10,816 ",Residential,Freehold,-,-,Partly Furnished, Kuala Lumpur
2,/property/mont-kiara/arcoris-residences/sale-8478535/,"Arcoris Residences, Mont Kiara",Serviced Residence  , 1280000,"Jalan Kiara 4, Mont Kiara, 50480, Kuala Lumpur ", 907 sq. ft., -,2,2," 5,769 ",-,-,-,-,-, Kuala Lumpur
3,/new-property/property/johor-bahru/harp-taman-desa-tebrau-2-storey-cluster-homes/new-5690/,"Harp @ Taman Desa Tebrau, 2-Storey Cluster Homes",Cluster House  ,0,"Taman Desa Tebrau, Johor Bahru, Johor ", From 2490 - 2677 sq. ft., 34 x 80 ,0,0," 4,958 ",Residential,-,Contact for price,-,-, Johor
4,/property/petaling-jaya/sale-7880015/,"SS3, Petaling Jaya",Semi-detached House  , 1850000,"SS3, 47300, Selangor ", 3200 sq. ft., 3500 ,5,3," 8,338 ",Residential,Freehold,-,-,Partly Furnished, Selangor
5,/property/damansara-perdana/sale-7062522/,"Forest Hill, Damansara Perdana",Bungalow  , 2550000,"Jalan PJU 8/13, , Forest Hill, Selangor, Forest Hill, Selangor ", 5325 sq. ft., 4306 ,4+1,7," 11,492 ",Residential,Leasehold,-,-,Unfurnished, Selangor
6,/new-property/property/relau/setia-sky-vista/new-2015/,Setia Sky Vista,Condominium  ,0,"Relau, Penang ", From 910 - 1479 sq. ft., 6.153 acres ,2 - 3,2 - 3," 2,255 ",Residential,-,From RM 550,-,-, Penang
7,/property/desa-park-city/sale-5338505/,"ADIVA,Desa Parkcity, Desa ParkCity",3-sty Terrace/Link House | Intermediate  , 2480000,"Jalan Residen, Adiva Courtyard, ADIVA,Desa Parkcity, Kuala Lumpur ", 3735 sq. ft., 1650 ,5,5," 11,177 ",Residential,Freehold,-,-,Partly Furnished, Kuala Lumpur
8,/property/sungai-ara/sale-8449869/,"Bayan Lepas, Sungai Ara",Bungalow | Corner  , 1450000,"Jalan Sungai Ara, Bayan Lepas, 11900, Penang ", 1800 sq. ft., 4800 ,3,2," 6,535 ",-,-,-,-,-, Penang
9,/property/petaling-jaya/sale-7420635/,"Section 16, Petaling Jaya",Bungalow  , 3700000,"Section 16, Selangor ", 6000 sq. ft., 8250 ,7,8," 16,675 ",Residential,Leasehold,-,-,Partly Furnished, Selangor
10,/new-property/property/kulai/taman-saujana-jaya/new-6072/,Taman Saujana Jaya,Residential Land  ,0,"Kulai, Johor ", From 1750 - 1830 sq. ft., 20' x 70' (1400 sf) ,4,3," 1,797 ",Residential,-,Contact for price,-,-, Johor
11,/property/subang-jaya/isola/sale-5217829/,"Isola, Subang Jaya",Serviced Residence | Corner  , 1399999,"Jalan SS 16/1, Subang Jaya, 47500, Selangor ", 1927 sq. ft., 5800 ,3,3," 6,310 ",Residential,Freehold,-,-,Partly Furnished, Selangor
12,/property/bukit-jalil/the-park-sky-residence/sale-8444095/,"The Park Sky Residence, Bukit Jalil",Serviced Residence | Corner  , 898000,"Lebuhraya Bukit Jalil, Bukit Jalil, 57000, Kuala Lumpur ", 1044 sq. ft., -,3,2," 4,047 ",Commercial,Freehold,-,-,Partly Furnished, Kuala Lumpur
13,/property/tropicana/sale-7748355/,"Tropicana Resort TR7, Tropicana",Bungalow  , 4450000,"Tropicana Resort TR7, 47410, Selangor ", 6000 sq. ft., 7000 ,5+1,6," 20,055 ",Residential,Leasehold,-,-,Partly Furnished, Selangor
14,/new-property/property/iskandar-puteri-nusajaya/aspira-parkhomes/new-5852/,Aspira Parkhomes,2-sty Terrace/Link House,0,"Iskandar Puteri (Nusajaya), Johor ", -, -,4,3," 2,371 ",Residential,-,Contact for price,-,-, Johor
15,/property/bukit-jalil/the-park-sky-residence/sale-8444069/,"The Park Sky Residence, Bukit Jalil",Serviced Residence | Corner  , 800000,"Lebuhraya Bukit Jalil, Bukit Jalil, 57000, Kuala Lumpur ", 953 sq. ft., -,2,2," 3,605 ",Commercial,Freehold,-,-,Partly Furnished, Kuala Lumpur
16,/property/tropicana/tropicana-avenue/sale-8332192/,"Tropicana Avenue, Tropicana",Serviced Residence | Intermediate  , 650000,"Persiaran Tropicana, Tropicana, 47800, Selangor ", 660 sq. ft., -,1+1,1," 2,929 ",-,Leasehold,-,-,Fully Furnished, Selangor
17,/property/damansara-heights/sale-7192819/," Setiabakti, Damansara Heights",Bungalow | Intermediate  , 7980000,"Jalan Setiabakti 9 Bukit Damansara,  Setiabakti, Kuala Lumpur ", 7000 sq. ft., 12805 ,5+1,6," 35,965 ",Residential,Freehold,-,-,Unfurnished, Kuala Lumpur
18,/property/iskandar-puteri-nusajaya/sale-8156913/,"Bukit Indah, Iskandar Puteri (Nusajaya)",2-sty Terrace/Link House | Intermediate  , 670000,"Jalan Indah 29 Taman Bukit Indah, Bukit Indah, 79100, Johor ", -, 20x70 ,3,3," 3,020 ",Residential,Freehold,-,-,Fully Furnished, Johor
19,/property/usj/sale-8256933/,"usj 5, USJ",Semi-detached House | Intermediate  , 2699888,"usj 5, Selangor ", 4400 sq. ft., 3825 ,5,5," 12,168 ",Residential,Freehold,-,-,Partly Furnished, Selangor
20,/property/subang-jaya/sale-4288497/,"ss19 subang jaya, Subang Jaya",Bungalow | Intermediate  , 2500000,"ss19 subang jaya, Selangor ", 3800 sq. ft., 7100 ,4+1,5," 11,267 ",Residential,Freehold,-,-,Partly Furnished, Selangor
21,/property/usj/sale-3107821/,"usj26 subang jaya, USJ",2-sty Terrace/Link House | Corner  , 888888,"usj26 subang jaya, Selangor ", 2300 sq. ft., 3126 ,3,3," 4,006 ",Residential,Freehold,-,-,Partly Furnished, Selangor
22,/property/kajang/canopy-hills/sale-6773490/,"Canopy Hills, Kajang",Serviced Residence  , 230000,"Jalan Reko, Kajang, 43650, Selangor ", 590 sq. ft., -,2,1," 1,037 ",Residential,Freehold,-,-,-, Selangor
23,/property/damansara-kim/sale-7686364/,"Petaling Jaya, Damansara Kim",2-sty Terrace/Link House | Corner  , 1800000,"Petaling Jaya, 47400, Selangor ", 2200 sq. ft., 3691 ,4,3," 8,112 ",Residential,Freehold,-,-,Partly Furnished, Selangor
24,/property/seremban/sale-8147436/,"SEREMBAN Senawang, Seremban",Bungalow  , 574200,"SEREMBAN Senawang, Negeri Sembilan ", 1726 sq. ft., 50x85 ,4,2," 2,588 ",Residential,Freehold,RM 135.11,-,-, Negeri Sembilan
25,/property/senawang/sale-7509210/,"22'x75' Seremban New Link Home, Senawang",2-sty Terrace/Link House  , 468000,"22'x75' Seremban New Link Home, Negeri Sembilan ", 2203 sq. ft., -,4,3," 2,109 ",Residential,Freehold,-,-,-, Negeri Sembilan
26,/property/klcc/2-hampshire/sale-8236060/,"2 Hampshire, Hampshire Park, KLCC",Condominium | Corner  , 1900000,"Persiaran Hampshire, Hampshire Park, 50450, Kuala Lumpur ", 2400 sq. ft., -,3+1,4," 8,563 ",Residential,Freehold,RM 800,-,Fully Furnished, Kuala Lumpur
27,/new-property/property/jalan-sultan-ismail/quill-residences/new-5958/,Quill Residences,Serviced Residence  ,0,"Kuala Lumpur City Centre, Jalan Sultan Ismail, Kuala Lumpur ", From 667 - 3014 sq. ft., 1.36 acres ,1 - 2,1 - 2," 3,943 ",Commercial,-,Contact for price,-,-, Kuala Lumpur
28,/property/petaling-jaya/pj-midtown/sale-8428735/,"PJ Midtown, Petaling Jaya",Serviced Residence  , 720000,"Jalan 13/2 Off Jalan Kemajuan, Seksyen 13,, Petaling Jaya, 46200, Selangor ", 915 sq. ft., -,2,2," 3,245 ",-,Leasehold,-,-,Partly Furnished, Selangor
29,/property/cyberjaya/edusphere/sale-8428672/,"Edusphere, Cyberjaya",Condominium  , 272000,"Persiaran Bestari, Cyberjaya, 63200, Selangor ", -, -,Studio,1," 1,226 ",-,-,-,-,Partly Furnished, Selangor
30,/new-property/property/shah-alam/bukit-bayu-private-bungalow-estate/new-6073/,"Bukit Bayu, Private Bungalow Estate",Bungalow  ,0,"Seksyen U10, Shah Alam, Selangor ", From 5806 - 6475 sq. ft., 8804 -12680 sq. ft ,6,5," 9,681 ",Residential,-,From RM 377 - RM 428,-,-, Selangor
31,/property/johor-bahru/sale-7897523/,"Taman Setia Indah, Johor Bahru",2-sty Terrace/Link House | EndLot  , 678000,"Jalan Setia 5/x, Taman Setia Indah, 81100, Johor ", 1600 sq. ft., 30x70 ,4,3," 3,056 ",Residential,Freehold,-,-,Partly Furnished, Johor
32,/property/kampar/uni-suites/sale-8428490/,"Uni Suites, Taman Bandar Baru, Kampar",Serviced Residence  , 78000,"Jalan Batu Karang, Taman Bandar Baru, 31900, Perak ", -, -,Studio,1, 352 ,-,-,-,-,Fully Furnished, Perak
33,/property/kajang/sale-6034745/,"Puncak Saujana, Kajang",Semi-detached House  , 1618000,"Puncak Saujana, Selangor ", 5059 sq. ft., 40x80 ,6+1,7," 7,292 ",-,Freehold,RM 320,-,-, Selangor
34,/new-property/property/sepang/setia-warisan-tropika/new-6076/,Setia Warisan Tropika,2-sty Terrace/Link House  ,0,"Salak Tinggi, Sepang, Selangor ", From 1907 - 2108 sq. ft., 57 Acres ,3 - 4,1 - 3," 2,956 ",Residential,-,From RM 344 - RM 494,-,-, Selangor
35,/property/kajang/sale-5471702/,"Puncak Saujana, Kajang",Semi-detached House  , 1620000,"Puncak Saujana, Selangor ", 4350 sq. ft., 45x80 ,6+1,7," 7,301 ",-,Freehold,-,-,-, Selangor
36,/property/cyberjaya/hyve/sale-8428417/,"HYVE, Cyberjaya",Serviced Residence | Corner  , 400000,"Jalan Impact, Cyberjaya, 63000, Selangor ", 770 sq. ft., -,2+1,2," 1,803 ",-,-,-,-,-, Selangor
37,/property/seremban/sale-8428390/,"Taman Seremban Jaya Senawang, Seremban",1-sty Terrace/Link House | Intermediate  , 225000,"Taman Seremban Jaya Senawang, 71450, Negeri Sembilan ", 1540 sq. ft., 1870 ,3,3," 1,014 ",Residential,Freehold,-,-,Unfurnished, Negeri Sembilan
38,/new-property/property/batu-pahat/laman-bayu/new-6074/,Laman Bayu,2-sty Terrace/Link House  ,0,"Bandar Putera Indah, Batu Pahat, Johor ", From 1426 sq. ft., -,0 - 4,0 - 3," 1,749 ",Residential,-,Contact for price,-,-, Johor
39,/property/kajang/canopy-hills/sale-8428349/,"Canopy Hills, Kajang",Serviced Residence, 230000,"Jalan Reko, Kajang, 43650, Selangor ", -, -,2+2,3," 1,037 ",-,Freehold,-,-,-, Selangor
40,/property/johor-bahru/sale-7811881/,"Taman Johor Jaya, Johor Bahru",Semi-detached House | Intermediate  , 550000,"Jalan Teratai 45, Taman Johor Jaya, 81100, Johor ", 3200 sq. ft., 40x80 ,3+1,2," 2,479 ",Residential,Freehold,-,-,Partly Furnished, Johor
41,/property/sunway-spk/sale-8270393/,"SPK Damansara, Sunway SPK Damansara, Sunway SPK",2-sty Terrace/Link House | Intermediate  , 1520000,"SPK Damansara, Sunway SPK Damansara, Kuala Lumpur ", 2398 sq. ft., 22x75 ,4+1,4," 6,850 ",Residential,Freehold,-,-,Partly Furnished, Kuala Lumpur
42,/property/sierra-mas/sale-6547912/,"Sg buloh, SierraMas",Bungalow | Intermediate  , 3550000,"Sg buloh, 47000, Selangor ", 4300 sq. ft., 5000 ,6,0," 15,999 ",Residential,Freehold,-,-,Partly Furnished, Selangor
43,/property/senai/sale-8428123/,"TAMAN MUHIBAH SALENG ( KULAI ), Senai",2-sty Terrace/Link House | Intermediate  , 385000,"JLN JAMBU 34, TAMAN MUHIBAH SALENG ( KULAI ), 81100, Johor ", 1080 sq. ft., 18 x 60 ,4,3," 1,735 ",Residential,Freehold,-,-,Partly Furnished, Johor
44,/property/cheras/m-vertica/sale-7224480/,"M Vertica, Taman Maluri, Cheras",Condominium  , 434546,"Jalan Cheras, Taman Maluri, 56000, Kuala Lumpur ", 850 sq. ft., 850sf - 1000sf ,3,2," 1,958 ",-,-,RM 511,-,Unfurnished, Kuala Lumpur
45,/property/kepong/residensi-ava-kiara-bay/sale-8428061/,"Residensi Ava @ Kiara Bay, Taman Metropolitan Kepong, Kepong",Serviced Residence  , 567000,"Jalan Benteng Utama, Taman Metropolitan Kepong, 52100, Kuala Lumpur ", 1285 sq. ft., 4.6 ,3+1,2," 2,555 ",-,Leasehold,RM 650,-,Partly Furnished, Kuala Lumpur
46,/property/johor-bahru/sale-8428066/,"La Garden, Johor Bahru",2-sty Terrace/Link House | Intermediate  , 550000,"Jalan Jaya Putra 5, Mount Austin, La Garden, 81100, Johor ", 2009 sq. ft., 1170 ,4,4," 2,479 ",Residential,Freehold,-,-,Partly Furnished, Johor
47,/property/johor-bahru/sale-8423690/,"Setia Eco Cascadia, Johor Bahru",2-sty Terrace/Link House | Intermediate  , 799000,"Jalan Eco Cascadia 1/x, Setia Eco Cascadia, Setia Eco Cascadia, 81100, Johor ", 2683 sq. ft., 22X80 ,4+1,6," 3,601 ",Residential,Freehold,-,-,Fully Furnished, Johor
48,/property/kepong/residensi-ava-kiara-bay/sale-8428061/,"Residensi Ava @ Kiara Bay, Taman Metropolitan Kepong, Kepong",Serviced Residence  , 567000,"Jalan Benteng Utama, Taman Metropolitan Kepong, 52100, Kuala Lumpur ", 1285 sq. ft., 4.6 ,3+1,2," 2,555 ",-,Leasehold,RM 650,-,Partly Furnished, Kuala Lumpur
