,link,name,type,price,address,built_up,bedrooms,bathrooms,monthly_installment,land_title,tenure,furnishing,state
1,/property/desa-park-city/sale-7179338/,"Safa, Desa ParkCity, Desa ParkCity",4,2400000,"Safa, Desa ParkCity, Safa, Desa ParkCity, Kuala Lumpur ",3000.0,5,4,10816,4,5,4, Kuala Lumpur
2,/property/mont-kiara/arcoris-residences/sale-8478535/,"Arcoris Residences, Mont Kiara",2,1280000,"Jalan Kiara 4, Mont Kiara, 50480, Kuala Lumpur ",907.0,2,2,5769,-,-,-, Kuala Lumpur
3,/new-property/property/johor-bahru/harp-taman-desa-tebrau-2-storey-cluster-homes/new-5690/,"Harp @ Taman Desa Tebrau, 2-Storey Cluster Homes",4,0,"Taman Desa Tebrau, Johor Bahru, Johor ",2583.5,0,0,4958,4,-,-, Johor
4,/property/petaling-jaya/sale-7880015/,"SS3, Petaling Jaya",3,1850000,"SS3, 47300, Selangor ",3200.0,5,3,8338,4,5,4, Selangor
5,/property/damansara-perdana/sale-7062522/,"Forest Hill, Damansara Perdana",1,2550000,"Jalan PJU 8/13, , Forest Hill, Selangor, Forest Hill, Selangor ",5325.0,5,7,11492,4,3,2, Selangor
6,/new-property/property/relau/setia-sky-vista/new-2015/,Setia Sky Vista,2,0,"Relau, Penang ",1194.5,1,2 - 3,2255,4,-,-, Penang
7,/property/desa-park-city/sale-5338505/,"ADIVA,Desa Parkcity, Desa ParkCity",4,2480000,"Jalan Residen, Adiva Courtyard, ADIVA,Desa Parkcity, Kuala Lumpur ",3735.0,5,5,11177,4,5,4, Kuala Lumpur
8,/property/sungai-ara/sale-8449869/,"Bayan Lepas, Sungai Ara",1,1450000,"Jalan Sungai Ara, Bayan Lepas, 11900, Penang ",1800.0,3,2,6535,-,-,-, Penang
10,/new-property/property/kulai/taman-saujana-jaya/new-6072/,Taman Saujana Jaya,5,0,"Kulai, Johor ",1790.0,4,3,1797,4,-,-, Johor
11,/property/subang-jaya/isola/sale-5217829/,"Isola, Subang Jaya",2,1399999,"Jalan SS 16/1, Subang Jaya, 47500, Selangor ",1927.0,3,3,6310,4,5,4, Selangor
12,/property/bukit-jalil/the-park-sky-residence/sale-8444095/,"The Park Sky Residence, Bukit Jalil",2,898000,"Lebuhraya Bukit Jalil, Bukit Jalil, 57000, Kuala Lumpur ",1044.0,3,2,4047,2,5,4, Kuala Lumpur
15,/property/bukit-jalil/the-park-sky-residence/sale-8444069/,"The Park Sky Residence, Bukit Jalil",2,800000,"Lebuhraya Bukit Jalil, Bukit Jalil, 57000, Kuala Lumpur ",953.0,2,2,3605,2,5,4, Kuala Lumpur
16,/property/tropicana/tropicana-avenue/sale-8332192/,"Tropicana Avenue, Tropicana",2,650000,"Persiaran Tropicana, Tropicana, 47800, Selangor ",660.0,2,1,2929,-,3,1, Selangor
19,/property/usj/sale-8256933/,"usj 5, USJ",3,2699888,"usj 5, Selangor ",4400.0,5,5,12168,4,5,4, Selangor
20,/property/subang-jaya/sale-4288497/,"ss19 subang jaya, Subang Jaya",1,2500000,"ss19 subang jaya, Selangor ",3800.0,5,5,11267,4,5,4, Selangor
21,/property/usj/sale-3107821/,"usj26 subang jaya, USJ",4,888888,"usj26 subang jaya, Selangor ",2300.0,3,3,4006,4,5,4, Selangor
